1	165	103,7	1,839	-15,605
1	166	103,712	1,832	-15,61
1	167	103,734	1,815	-15,615
1	168	103,744	1,806	-15,617
1	169	103,753	1,796	-15,617
1	170	103,762	1,786	-15,617
1	171	103,769	1,777	-15,616
1	172	103,78	1,759	-15,61
1	173	103,783	1,751	-15,605
1	174	103,786	1,744	-15,599
1	175	103,787	1,737	-15,592
1	176	103,786	1,73	-15,584
1	177	103,782	1,714	-15,568
1	178	103,777	1,706	-15,559
1	179	103,772	1,698	-15,55
1	180	103,765	1,69	-15,54
1	181	103,758	1,682	-15,528
1	182	103,74	1,667	-15,502
1	183	103,73	1,661	-15,487
1	184	103,72	1,656	-15,471
1	185	103,71	1,651	-15,456
1	186	103,699	1,647	-15,441
1	187	103,681	1,641	-15,415
1	188	103,672	1,638	-15,406
1	189	103,664	1,636	-15,4
1	190	103,656	1,633	-15,396
1	191	103,649	1,631	-15,396
1	192	103,637	1,626	-15,403
1	193	103,632	1,624	-15,411
1	194	103,629	1,621	-15,421
1	195	103,627	1,618	-15,433
1	196	103,626	1,615	-15,446
1	197	103,629	1,607	-15,472
1	198	103,632	1,603	-15,484
1	199	103,635	1,597	-15,495
1	200	103,64	1,59	-15,504
1	201	103,643	1,581	-15,511
1	202	103,649	1,556	-15,519
1	203	103,652	1,541	-15,52
1	204	103,654	1,524	-15,519
1	205	103,656	1,505	-15,517
1	206	103,658	1,486	-15,513
1	207	103,665	1,447	-15,5
1	208	103,67	1,428	-15,491
1	209	103,677	1,41	-15,479
1	210	103,684	1,392	-15,466
1	211	103,69	1,374	-15,452
1	212	103,705	1,34	-15,42
1	213	103,712	1,324	-15,404
1	214	103,717	1,308	-15,389
1	215	103,722	1,293	-15,374
1	216	103,726	1,279	-15,36
1	217	103,73	1,258	-15,335
1	218	103,732	1,25	-15,325
1	219	103,733	1,244	-15,316
1	220	103,733	1,238	-15,31
1	221	103,734	1,233	-15,304
1	222	103,735	1,221	-15,298
1	223	103,736	1,214	-15,296
1	224	103,736	1,206	-15,296
1	225	103,737	1,198	-15,295
1	226	103,737	1,189	-15,295
1	227	103,737	1,169	-15,293
1	228	103,737	1,159	-15,291
1	229	103,735	1,148	-15,287
1	230	103,734	1,136	-15,281
1	231	103,731	1,124	-15,275
1	232	103,723	1,098	-15,258
1	233	103,718	1,085	-15,248
1	234	103,712	1,073	-15,238
1	235	103,705	1,061	-15,228
1	236	103,697	1,05	-15,218
1	237	103,683	1,027	-15,198
1	238	103,676	1,016	-15,188
1	239	103,671	1,005	-15,178
1	240	103,667	0,993	-15,168
1	241	103,664	0,981	-15,159
1	242	103,665	0,957	-15,141
1	243	103,667	0,945	-15,133
1	244	103,671	0,933	-15,126
1	245	103,676	0,92	-15,121
1	246	103,681	0,908	-15,117
1	247	103,691	0,883	-15,112
1	248	103,697	0,871	-15,111
1	249	103,701	0,859	-15,111
1	250	103,705	0,848	-15,111
1	251	103,706	0,838	-15,111
1	252	103,705	0,822	-15,11
1	253	103,701	0,815	-15,109
1	254	103,695	0,811	-15,107
1	255	103,687	0,808	-15,105
1	256	103,677	0,806	-15,102
1	257	103,653	0,807	-15,096
1	258	103,64	0,809	-15,093
1	259	103,628	0,811	-15,09
1	260	103,616	0,814	-15,088
1	261	103,605	0,818	-15,087
1	262	103,589	0,827	-15,088
1	263	103,583	0,833	-15,091
1	264	103,579	0,839	-15,095
1	265	103,576	0,846	-15,101
1	266	103,576	0,852	-15,109
1	267	103,58	0,864	-15,131
1	268	103,586	0,868	-15,146
1	269	103,594	0,873	-15,164
1	270	103,605	0,877	-15,184
1	271	103,62	0,88	-15,207
1	272	103,656	0,886	-15,262
1	273	103,678	0,888	-15,291
1	274	103,699	0,89	-15,323
1	275	103,722	0,89	-15,354
1	276	103,743	0,889	-15,384
1	277	103,78	0,885	-15,441
1	278	103,793	0,884	-15,466
1	279	103,802	0,882	-15,49
1	280	103,807	0,882	-15,512
1	281	103,809	0,884	-15,532
1	282	103,802	0,892	-15,568
1	283	103,795	0,899	-15,585
1	284	103,787	0,906	-15,601
1	285	103,779	0,913	-15,616
1	286	103,772	0,921	-15,63
1	287	103,761	0,935	-15,658
1	288	103,759	0,94	-15,671
1	289	103,759	0,945	-15,684
1	290	103,761	0,948	-15,697
1	291	103,764	0,95	-15,71
1	292	103,77	0,952	-15,734
1	293	103,772	0,951	-15,746
1	294	103,772	0,95	-15,755
1	295	103,769	0,948	-15,763
1	296	103,763	0,946	-15,77
1	297	103,744	0,943	-15,776
1	298	103,731	0,943	-15,776
1	299	103,716	0,943	-15,776
1	300	103,7	0,945	-15,773
1	301	103,684	0,948	-15,77
1	302	103,647	0,957	-15,762
1	303	103,627	0,961	-15,758
1	304	103,608	0,965	-15,754
1	305	103,589	0,969	-15,751
1	306	103,571	0,973	-15,749
1	307	103,539	0,98	-15,748
1	308	103,526	0,985	-15,75
1	309	103,516	0,99	-15,754
1	310	103,509	0,996	-15,76
1	311	103,504	1,003	-15,767
1	312	103,503	1,016	-15,787
1	313	103,507	1,021	-15,799
1	314	103,512	1,024	-15,812
1	315	103,519	1,025	-15,826
1	316	103,528	1,025	-15,84
1	317	103,55	1,017	-15,867
1	318	103,562	1,011	-15,88
1	319	103,575	1,004	-15,891
1	320	103,589	0,995	-15,901
1	321	103,604	0,986	-15,909
1	322	103,632	0,964	-15,917
1	323	103,645	0,951	-15,918
1	324	103,658	0,937	-15,917
1	325	103,67	0,922	-15,914
1	326	103,68	0,906	-15,911
1	327	103,698	0,875	-15,902
1	328	103,706	0,86	-15,897
1	329	103,713	0,847	-15,894
1	330	103,72	0,835	-15,891
1	331	103,726	0,826	-15,889
1	332	103,737	0,812	-15,888
1	333	103,74	0,808	-15,889
1	334	103,743	0,805	-15,89
1	335	103,746	0,803	-15,892
1	336	103,747	0,802	-15,894
1	337	103,749	0,802	-15,898
1	338	103,749	0,802	-15,9
1	339	103,75	0,801	-15,902
1	340	103,75	0,799	-15,905
1	341	103,75	0,796	-15,907
1	342	103,75	0,786	-15,914
1	343	103,748	0,781	-15,918
1	344	103,746	0,776	-15,921
1	345	103,743	0,772	-15,925
1	346	103,739	0,77	-15,928
1	347	103,728	0,77	-15,934
1	348	103,721	0,772	-15,936
1	349	103,713	0,775	-15,938
1	350	103,703	0,778	-15,939
1	351	103,693	0,781	-15,941
1	352	103,671	0,785	-15,946
1	353	103,66	0,786	-15,95
1	354	103,649	0,788	-15,954
1	355	103,639	0,789	-15,959
1	356	103,63	0,791	-15,963
1	357	103,617	0,796	-15,97
1	358	103,613	0,8	-15,972
1	359	103,611	0,805	-15,973
1	360	103,611	0,81	-15,973
1	361	103,613	0,816	-15,972
1	362	103,619	0,83	-15,971
1	363	103,624	0,838	-15,971
1	364	103,63	0,848	-15,972
1	365	103,637	0,858	-15,974
1	366	103,644	0,868	-15,977
1	367	103,659	0,89	-15,983
1	368	103,665	0,901	-15,986
1	369	103,671	0,912	-15,988
1	370	103,675	0,923	-15,99
1	371	103,678	0,934	-15,991
1	372	103,679	0,958	-15,989
1	373	103,678	0,97	-15,987
1	374	103,676	0,981	-15,983
1	375	103,674	0,991	-15,977
1	376	103,671	1,001	-15,969
1	377	103,664	1,015	-15,947
1	378	103,661	1,02	-15,931
1	379	103,658	1,024	-15,914
1	380	103,655	1,026	-15,894
1	381	103,652	1,027	-15,872
1	382	103,65	1,026	-15,824
1	383	103,651	1,023	-15,798
1	384	103,654	1,02	-15,772
1	385	103,657	1,016	-15,747
1	386	103,661	1,011	-15,722
1	387	103,669	1,001	-15,675
1	388	103,673	0,995	-15,652
1	389	103,676	0,989	-15,631
1	390	103,678	0,984	-15,611
1	391	103,681	0,978	-15,591
1	392	103,683	0,968	-15,553
1	393	103,683	0,963	-15,535
1	394	103,683	0,959	-15,518
1	395	103,683	0,955	-15,502
1	396	103,681	0,951	-15,487
1	397	103,678	0,943	-15,463
1	398	103,676	0,939	-15,453
1	399	103,675	0,935	-15,445
1	400	103,673	0,933	-15,439
1	401	103,672	0,931	-15,434
1	402	103,67	0,93	-15,427
1	403	103,669	0,931	-15,424
1	404	103,667	0,933	-15,422
1	405	103,665	0,934	-15,42
1	406	103,663	0,936	-15,418
1	407	103,655	0,937	-15,413
1	408	103,65	0,937	-15,41
1	409	103,644	0,937	-15,406
1	410	103,637	0,937	-15,402
1	411	103,63	0,938	-15,396
1	412	103,616	0,939	-15,382
1	413	103,608	0,94	-15,373
1	414	103,601	0,94	-15,363
1	415	103,594	0,939	-15,351
1	416	103,587	0,937	-15,338
1	417	103,577	0,929	-15,308
1	418	103,573	0,923	-15,292
1	419	103,572	0,916	-15,274
1	420	103,572	0,907	-15,257
1	421	103,575	0,898	-15,239
1	422	103,588	0,877	-15,205
1	423	103,598	0,865	-15,188
1	424	103,61	0,852	-15,171
1	425	103,624	0,838	-15,155
1	426	103,64	0,824	-15,139
1	427	103,674	0,794	-15,11
1	428	103,691	0,78	-15,098
1	429	103,708	0,766	-15,086
1	430	103,726	0,752	-15,076
1	431	103,742	0,739	-15,066
1	432	103,771	0,714	-15,048
1	433	103,782	0,702	-15,04
1	434	103,79	0,69	-15,031
1	435	103,796	0,677	-15,022
1	436	103,8	0,665	-15,014
1	437	103,799	0,64	-14,996
1	438	103,796	0,629	-14,988
1	439	103,792	0,618	-14,981
1	440	103,786	0,608	-14,975
1	441	103,78	0,599	-14,969
1	442	103,767	0,58	-14,961
1	443	103,76	0,571	-14,959
1	444	103,754	0,562	-14,958
1	445	103,747	0,553	-14,958
1	446	103,74	0,543	-14,96
1	447	103,725	0,526	-14,964
1	448	103,716	0,518	-14,966
1	449	103,707	0,511	-14,968
1	450	103,696	0,505	-14,969
1	451	103,685	0,501	-14,967
1	452	103,656	0,493	-14,96
1	453	103,641	0,49	-14,953
1	454	103,625	0,487	-14,945
1	455	103,609	0,485	-14,936
1	456	103,594	0,482	-14,925
1	457	103,566	0,475	-14,904
1	458	103,554	0,471	-14,893
1	459	103,543	0,467	-14,882
1	460	103,533	0,463	-14,872
1	461	103,525	0,458	-14,863
1	462	103,514	0,447	-14,846
1	463	103,511	0,442	-14,84
1	464	103,511	0,436	-14,834
1	465	103,515	0,43	-14,831
1	466	103,521	0,424	-14,828
1	467	103,542	0,414	-14,829
1	468	103,556	0,409	-14,832
1	469	103,572	0,405	-14,837
1	470	103,59	0,399	-14,842
1	471	103,608	0,393	-14,848
